year,category,motivation,fullName,gender,Question,Answer
2008,chemistry,for the discovery and development of the green fluorescent protein GFP,Roger Y. Tsien,male,Who won a Nobel Prize for chemistry in 2008?,Roger Y. Tsien won a Nobel Prize for chemistry in 2008 for for the discovery and development of the green fluorescent protein GFP
2008,chemistry,for the discovery and development of the green fluorescent protein GFP,Martin Chalfie,male,Who won a Nobel Prize for chemistry in 2008?,Martin Chalfie won a Nobel Prize for chemistry in 2008 for for the discovery and development of the green fluorescent protein GFP
2008,chemistry,for the discovery and development of the green fluorescent protein GFP,Osamu Shimomura,male,Who won a Nobel Prize for chemistry in 2008?,Osamu Shimomura won a Nobel Prize for chemistry in 2008 for for the discovery and development of the green fluorescent protein GFP
2008,physics,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature,Toshihide Maskawa,male,Who won a Nobel Prize for physics in 2008?,Toshihide Maskawa won a Nobel Prize for physics in 2008 for for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature
2008,physics,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature,Makoto Kobayashi,male,Who won a Nobel Prize for physics in 2008?,Makoto Kobayashi won a Nobel Prize for physics in 2008 for for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature
2008,physics,for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics,Yoichiro Nambu,male,Who won a Nobel Prize for physics in 2008?,Yoichiro Nambu won a Nobel Prize for physics in 2008 for for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics
2008,medicine,for their discovery of human immunodeficiency virus,Luc Montagnier,male,Who won a Nobel Prize for medicine in 2008?,Luc Montagnier won a Nobel Prize for medicine in 2008 for for their discovery of human immunodeficiency virus
2008,medicine,for their discovery of human immunodeficiency virus,Franoise Barr-Sinoussi,female,Who won a Nobel Prize for medicine in 2008?,Franoise Barr-Sinoussi won a Nobel Prize for medicine in 2008 for for their discovery of human immunodeficiency virus
2008,medicine,for his discovery of human papilloma viruses causing cervical cancer,Harald zur Hausen,male,Who won a Nobel Prize for medicine in 2008?,Harald zur Hausen won a Nobel Prize for medicine in 2008 for for his discovery of human papilloma viruses causing cervical cancer
2007,physics,for the discovery of Giant Magnetoresistance,Peter Grnberg,male,Who won a Nobel Prize for physics in 2007?,Peter Grnberg won a Nobel Prize for physics in 2007 for for the discovery of Giant Magnetoresistance
2007,physics,for the discovery of Giant Magnetoresistance,Albert Fert,male,Who won a Nobel Prize for physics in 2007?,Albert Fert won a Nobel Prize for physics in 2007 for for the discovery of Giant Magnetoresistance
2007,economics,for having laid the foundations of mechanism design theory,Roger B. Myerson,male,Who won a Nobel Prize for economics in 2007?,Roger B. Myerson won a Nobel Prize for economics in 2007 for for having laid the foundations of mechanism design theory
2007,economics,for having laid the foundations of mechanism design theory,Eric S. Maskin,male,Who won a Nobel Prize for economics in 2007?,Eric S. Maskin won a Nobel Prize for economics in 2007 for for having laid the foundations of mechanism design theory
2007,economics,for having laid the foundations of mechanism design theory,Leonid Hurwicz,male,Who won a Nobel Prize for economics in 2007?,Leonid Hurwicz won a Nobel Prize for economics in 2007 for for having laid the foundations of mechanism design theory
2007,peace,for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change,Al Gore,male,Who won a Nobel Prize for peace in 2007?,Al Gore won a Nobel Prize for peace in 2007 for for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change
2007,peace,for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change,Intergovernmental Panel on Climate Change ,org,Who won a Nobel Prize for peace in 2007?,Intergovernmental Panel on Climate Change  won a Nobel Prize for peace in 2007 for for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change
2007,literature,that epicist of the female experience who with scepticism fire and visionary power has subjected a divided civilisation to scrutiny,Doris Lessing,female,Who won a Nobel Prize for literature in 2007?,Doris Lessing won a Nobel Prize for literature in 2007 for that epicist of the female experience who with scepticism fire and visionary power has subjected a divided civilisation to scrutiny
2007,chemistry,for his studies of chemical processes on solid surfaces,Gerhard Ertl,male,Who won a Nobel Prize for chemistry in 2007?,Gerhard Ertl won a Nobel Prize for chemistry in 2007 for for his studies of chemical processes on solid surfaces
2007,medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,Oliver Smithies,male,Who won a Nobel Prize for medicine in 2007?,Oliver Smithies won a Nobel Prize for medicine in 2007 for for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
2007,medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,Sir Martin J. Evans,male,Who won a Nobel Prize for medicine in 2007?,Sir Martin J. Evans won a Nobel Prize for medicine in 2007 for for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
2007,medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,Mario R. Capecchi,male,Who won a Nobel Prize for medicine in 2007?,Mario R. Capecchi won a Nobel Prize for medicine in 2007 for for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
2006,peace,for their efforts to create economic and social development from below,Grameen Bank ,org,Who won a Nobel Prize for peace in 2006?,Grameen Bank  won a Nobel Prize for peace in 2006 for for their efforts to create economic and social development from below
2006,peace,for their efforts to create economic and social development from below,Muhammad Yunus,male,Who won a Nobel Prize for peace in 2006?,Muhammad Yunus won a Nobel Prize for peace in 2006 for for their efforts to create economic and social development from below
2006,literature,who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures,Orhan Pamuk,male,Who won a Nobel Prize for literature in 2006?,Orhan Pamuk won a Nobel Prize for literature in 2006 for who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures
2006,economics,for his analysis of intertemporal tradeoffs in macroeconomic policy,Edmund S. Phelps,male,Who won a Nobel Prize for economics in 2006?,Edmund S. Phelps won a Nobel Prize for economics in 2006 for for his analysis of intertemporal tradeoffs in macroeconomic policy
2006,chemistry,for his studies of the molecular basis of eukaryotic transcription,Roger D. Kornberg,male,Who won a Nobel Prize for chemistry in 2006?,Roger D. Kornberg won a Nobel Prize for chemistry in 2006 for for his studies of the molecular basis of eukaryotic transcription
2006,physics,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,George F. Smoot,male,Who won a Nobel Prize for physics in 2006?,George F. Smoot won a Nobel Prize for physics in 2006 for for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation
2006,physics,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,John C. Mather,male,Who won a Nobel Prize for physics in 2006?,John C. Mather won a Nobel Prize for physics in 2006 for for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation
2006,medicine,for their discovery of RNA interference - gene silencing by double-stranded RNA,Craig C. Mello,male,Who won a Nobel Prize for medicine in 2006?,Craig C. Mello won a Nobel Prize for medicine in 2006 for for their discovery of RNA interference - gene silencing by double-stranded RNA
2006,medicine,for their discovery of RNA interference - gene silencing by double-stranded RNA,Andrew Z. Fire,male,Who won a Nobel Prize for medicine in 2006?,Andrew Z. Fire won a Nobel Prize for medicine in 2006 for for their discovery of RNA interference - gene silencing by double-stranded RNA
2005,chemistry,for the development of the metathesis method in organic synthesis,Yves Chauvin,male,Who won a Nobel Prize for chemistry in 2005?,Yves Chauvin won a Nobel Prize for chemistry in 2005 for for the development of the metathesis method in organic synthesis
2005,literature,who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms,Harold Pinter,male,Who won a Nobel Prize for literature in 2005?,Harold Pinter won a Nobel Prize for literature in 2005 for who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms
2005,economics,for having enhanced our understanding of conflict and cooperation through game-theory analysis,Thomas C. Schelling,male,Who won a Nobel Prize for economics in 2005?,Thomas C. Schelling won a Nobel Prize for economics in 2005 for for having enhanced our understanding of conflict and cooperation through game-theory analysis
2005,economics,for having enhanced our understanding of conflict and cooperation through game-theory analysis,Robert J. Aumann,male,Who won a Nobel Prize for economics in 2005?,Robert J. Aumann won a Nobel Prize for economics in 2005 for for having enhanced our understanding of conflict and cooperation through game-theory analysis
2005,peace,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way,Mohamed ElBaradei,male,Who won a Nobel Prize for peace in 2005?,Mohamed ElBaradei won a Nobel Prize for peace in 2005 for for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way
2005,peace,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way,International Atomic Energy Agency ,org,Who won a Nobel Prize for peace in 2005?,International Atomic Energy Agency  won a Nobel Prize for peace in 2005 for for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way
2005,chemistry,for the development of the metathesis method in organic synthesis,Richard R. Schrock,male,Who won a Nobel Prize for chemistry in 2005?,Richard R. Schrock won a Nobel Prize for chemistry in 2005 for for the development of the metathesis method in organic synthesis
2005,chemistry,for the development of the metathesis method in organic synthesis,Robert H. Grubbs,male,Who won a Nobel Prize for chemistry in 2005?,Robert H. Grubbs won a Nobel Prize for chemistry in 2005 for for the development of the metathesis method in organic synthesis
2005,physics,for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique,Theodor W. Hansch,male,Who won a Nobel Prize for physics in 2005?,Theodor W. Hansch won a Nobel Prize for physics in 2005 for for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique
2005,physics,for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique,John L. Hall,male,Who won a Nobel Prize for physics in 2005?,John L. Hall won a Nobel Prize for physics in 2005 for for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique
2005,physics,for his contribution to the quantum theory of optical coherence,Roy J. Glauber,male,Who won a Nobel Prize for physics in 2005?,Roy J. Glauber won a Nobel Prize for physics in 2005 for for his contribution to the quantum theory of optical coherence
2005,medicine,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,J. Robin Warren,male,Who won a Nobel Prize for medicine in 2005?,J. Robin Warren won a Nobel Prize for medicine in 2005 for for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease
2005,medicine,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,Barry J. Marshall,male,Who won a Nobel Prize for medicine in 2005?,Barry J. Marshall won a Nobel Prize for medicine in 2005 for for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease
2004,literature,for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power,Elfriede Jelinek,female,Who won a Nobel Prize for literature in 2004?,Elfriede Jelinek won a Nobel Prize for literature in 2004 for for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power
2004,economics,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,Edward C. Prescott,male,Who won a Nobel Prize for economics in 2004?,Edward C. Prescott won a Nobel Prize for economics in 2004 for for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles
2004,economics,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,Finn E. Kydland,male,Who won a Nobel Prize for economics in 2004?,Finn E. Kydland won a Nobel Prize for economics in 2004 for for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles
2004,peace,for her contribution to sustainable development democracy and peace,Wangari Maathai,female,Who won a Nobel Prize for peace in 2004?,Wangari Maathai won a Nobel Prize for peace in 2004 for for her contribution to sustainable development democracy and peace
2004,chemistry,for the discovery of ubiquitin-mediated protein degradation,Irwin Rose,male,Who won a Nobel Prize for chemistry in 2004?,Irwin Rose won a Nobel Prize for chemistry in 2004 for for the discovery of ubiquitin-mediated protein degradation
2004,chemistry,for the discovery of ubiquitin-mediated protein degradation,Avram Hershko,male,Who won a Nobel Prize for chemistry in 2004?,Avram Hershko won a Nobel Prize for chemistry in 2004 for for the discovery of ubiquitin-mediated protein degradation
2004,chemistry,for the discovery of ubiquitin-mediated protein degradation,Aaron Ciechanover,male,Who won a Nobel Prize for chemistry in 2004?,Aaron Ciechanover won a Nobel Prize for chemistry in 2004 for for the discovery of ubiquitin-mediated protein degradation
2004,physics,for the discovery of asymptotic freedom in the theory of the strong interaction,Frank Wilczek,male,Who won a Nobel Prize for physics in 2004?,Frank Wilczek won a Nobel Prize for physics in 2004 for for the discovery of asymptotic freedom in the theory of the strong interaction
2004,physics,for the discovery of asymptotic freedom in the theory of the strong interaction,H. David Politzer,male,Who won a Nobel Prize for physics in 2004?,H. David Politzer won a Nobel Prize for physics in 2004 for for the discovery of asymptotic freedom in the theory of the strong interaction
2004,physics,for the discovery of asymptotic freedom in the theory of the strong interaction,David J. Gross,male,Who won a Nobel Prize for physics in 2004?,David J. Gross won a Nobel Prize for physics in 2004 for for the discovery of asymptotic freedom in the theory of the strong interaction
2004,medicine,for their discoveries of odorant receptors and the organization of the olfactory system,Linda B. Buck,female,Who won a Nobel Prize for medicine in 2004?,Linda B. Buck won a Nobel Prize for medicine in 2004 for for their discoveries of odorant receptors and the organization of the olfactory system
2004,medicine,for their discoveries of odorant receptors and the organization of the olfactory system,Richard Axel,male,Who won a Nobel Prize for medicine in 2004?,Richard Axel won a Nobel Prize for medicine in 2004 for for their discoveries of odorant receptors and the organization of the olfactory system
2003,peace,for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children,Shirin Ebadi,female,Who won a Nobel Prize for peace in 2003?,Shirin Ebadi won a Nobel Prize for peace in 2003 for for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children
2003,economics,for methods of analyzing economic time series with common trends (cointegration),Clive W.J. Granger,male,Who won a Nobel Prize for economics in 2003?,Clive W.J. Granger won a Nobel Prize for economics in 2003 for for methods of analyzing economic time series with common trends (cointegration)
2003,economics,for methods of analyzing economic time series with time-varying volatility (ARCH),Robert F. Engle III,male,Who won a Nobel Prize for economics in 2003?,Robert F. Engle III won a Nobel Prize for economics in 2003 for for methods of analyzing economic time series with time-varying volatility (ARCH)
2003,chemistry,for structural and mechanistic studies of ion channels,Roderick MacKinnon,male,Who won a Nobel Prize for chemistry in 2003?,Roderick MacKinnon won a Nobel Prize for chemistry in 2003 for for structural and mechanistic studies of ion channels
2003,chemistry,for the discovery of water channels,Peter Agre,male,Who won a Nobel Prize for chemistry in 2003?,Peter Agre won a Nobel Prize for chemistry in 2003 for for the discovery of water channels
2003,physics,for pioneering contributions to the theory of superconductors and superfluids,Anthony J. Leggett,male,Who won a Nobel Prize for physics in 2003?,Anthony J. Leggett won a Nobel Prize for physics in 2003 for for pioneering contributions to the theory of superconductors and superfluids
2003,physics,for pioneering contributions to the theory of superconductors and superfluids,Vitaly L. Ginzburg,male,Who won a Nobel Prize for physics in 2003?,Vitaly L. Ginzburg won a Nobel Prize for physics in 2003 for for pioneering contributions to the theory of superconductors and superfluids
2003,physics,for pioneering contributions to the theory of superconductors and superfluids,Alexei Abrikosov,male,Who won a Nobel Prize for physics in 2003?,Alexei Abrikosov won a Nobel Prize for physics in 2003 for for pioneering contributions to the theory of superconductors and superfluids
2003,medicine,for their discoveries concerning magnetic resonance imaging,Sir Peter Mansfield,male,Who won a Nobel Prize for medicine in 2003?,Sir Peter Mansfield won a Nobel Prize for medicine in 2003 for for their discoveries concerning magnetic resonance imaging
2003,medicine,for their discoveries concerning magnetic resonance imaging,Paul C. Lauterbur,male,Who won a Nobel Prize for medicine in 2003?,Paul C. Lauterbur won a Nobel Prize for medicine in 2003 for for their discoveries concerning magnetic resonance imaging
2003,literature,who in innumerable guises portrays the surprising involvement of the outsider,J. M. Coetzee,male,Who won a Nobel Prize for literature in 2003?,J. M. Coetzee won a Nobel Prize for literature in 2003 for who in innumerable guises portrays the surprising involvement of the outsider
2002,literature,for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history,Imre Kertesz,male,Who won a Nobel Prize for literature in 2002?,Imre Kertesz won a Nobel Prize for literature in 2002 for for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history
2002,chemistry,for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution,Kurt Wuthrich,male,Who won a Nobel Prize for chemistry in 2002?,Kurt Wuthrich won a Nobel Prize for chemistry in 2002 for for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution
2002,peace,for his decades of untiring effort to find peaceful solutions to international conflicts to advance democracy and human rights and to promote economic and social development,Jimmy Carter,male,Who won a Nobel Prize for peace in 2002?,Jimmy Carter won a Nobel Prize for peace in 2002 for for his decades of untiring effort to find peaceful solutions to international conflicts to advance democracy and human rights and to promote economic and social development
2002,economics,for having established laboratory experiments as a tool in empirical economic analysis especially in the study of alternative market mechanisms,Vernon L. Smith,male,Who won a Nobel Prize for economics in 2002?,Vernon L. Smith won a Nobel Prize for economics in 2002 for for having established laboratory experiments as a tool in empirical economic analysis especially in the study of alternative market mechanisms
2002,economics,for having integrated insights from psychological research into economic science especially concerning human judgment and decision-making under uncertainty,Daniel Kahneman,male,Who won a Nobel Prize for economics in 2002?,Daniel Kahneman won a Nobel Prize for economics in 2002 for for having integrated insights from psychological research into economic science especially concerning human judgment and decision-making under uncertainty
2002,chemistry,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,Koichi Tanaka,male,Who won a Nobel Prize for chemistry in 2002?,Koichi Tanaka won a Nobel Prize for chemistry in 2002 for for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules
2002,chemistry,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,John B. Fenn,male,Who won a Nobel Prize for chemistry in 2002?,John B. Fenn won a Nobel Prize for chemistry in 2002 for for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules
2002,physics,for pioneering contributions to astrophysics which have led to the discovery of cosmic X-ray sources,Riccardo Giacconi,male,Who won a Nobel Prize for physics in 2002?,Riccardo Giacconi won a Nobel Prize for physics in 2002 for for pioneering contributions to astrophysics which have led to the discovery of cosmic X-ray sources
2002,physics,for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos,Masatoshi Koshiba,male,Who won a Nobel Prize for physics in 2002?,Masatoshi Koshiba won a Nobel Prize for physics in 2002 for for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos
2002,physics,for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos,Raymond Davis Jr.,male,Who won a Nobel Prize for physics in 2002?,Raymond Davis Jr. won a Nobel Prize for physics in 2002 for for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos
2002,medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death',John E. Sulston,male,Who won a Nobel Prize for medicine in 2002?,John E. Sulston won a Nobel Prize for medicine in 2002 for for their discoveries concerning genetic regulation of organ development and programmed cell death'
2002,medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death',H. Robert Horvitz,male,Who won a Nobel Prize for medicine in 2002?,H. Robert Horvitz won a Nobel Prize for medicine in 2002 for for their discoveries concerning genetic regulation of organ development and programmed cell death'
2002,medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death',Sydney Brenner,male,Who won a Nobel Prize for medicine in 2002?,Sydney Brenner won a Nobel Prize for medicine in 2002 for for their discoveries concerning genetic regulation of organ development and programmed cell death'
2001,peace,for their work for a better organized and more peaceful world,Kofi Annan,male,Who won a Nobel Prize for peace in 2001?,Kofi Annan won a Nobel Prize for peace in 2001 for for their work for a better organized and more peaceful world
2001,peace,for their work for a better organized and more peaceful world,United Nations ,org,Who won a Nobel Prize for peace in 2001?,United Nations  won a Nobel Prize for peace in 2001 for for their work for a better organized and more peaceful world
2001,literature,for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories,V. S. Naipaul,male,Who won a Nobel Prize for literature in 2001?,V. S. Naipaul won a Nobel Prize for literature in 2001 for for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories
2001,economics,for their analyses of markets with asymmetric information,Joseph E. Stiglitz,male,Who won a Nobel Prize for economics in 2001?,Joseph E. Stiglitz won a Nobel Prize for economics in 2001 for for their analyses of markets with asymmetric information
2001,economics,for their analyses of markets with asymmetric information,A. Michael Spence,male,Who won a Nobel Prize for economics in 2001?,A. Michael Spence won a Nobel Prize for economics in 2001 for for their analyses of markets with asymmetric information
2001,economics,for their analyses of markets with asymmetric information,George A. Akerlof,male,Who won a Nobel Prize for economics in 2001?,George A. Akerlof won a Nobel Prize for economics in 2001 for for their analyses of markets with asymmetric information
2001,chemistry,for his work on chirally catalysed oxidation reactions,Barry Sharpless,male,Who won a Nobel Prize for chemistry in 2001?,Barry Sharpless won a Nobel Prize for chemistry in 2001 for for his work on chirally catalysed oxidation reactions
2001,chemistry,for their work on chirally catalysed hydrogenation reactions,Ryoji Noyori,male,Who won a Nobel Prize for chemistry in 2001?,Ryoji Noyori won a Nobel Prize for chemistry in 2001 for for their work on chirally catalysed hydrogenation reactions
2001,chemistry,for their work on chirally catalysed hydrogenation reactions,William Knowles,male,Who won a Nobel Prize for chemistry in 2001?,William Knowles won a Nobel Prize for chemistry in 2001 for for their work on chirally catalysed hydrogenation reactions
2001,physics,for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates,Carl Wieman,male,Who won a Nobel Prize for physics in 2001?,Carl Wieman won a Nobel Prize for physics in 2001 for for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates
2001,physics,for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates,Wolfgang Ketterle,male,Who won a Nobel Prize for physics in 2001?,Wolfgang Ketterle won a Nobel Prize for physics in 2001 for for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates
2001,physics,for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates,Eric Cornell,male,Who won a Nobel Prize for physics in 2001?,Eric Cornell won a Nobel Prize for physics in 2001 for for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms and for early fundamental studies of the properties of the condensates
2001,medicine,for their discoveries of key regulators of the cell cycle,Sir Paul Nurse,male,Who won a Nobel Prize for medicine in 2001?,Sir Paul Nurse won a Nobel Prize for medicine in 2001 for for their discoveries of key regulators of the cell cycle
2001,medicine,for their discoveries of key regulators of the cell cycle,Tim Hunt,male,Who won a Nobel Prize for medicine in 2001?,Tim Hunt won a Nobel Prize for medicine in 2001 for for their discoveries of key regulators of the cell cycle
2001,medicine,for their discoveries of key regulators of the cell cycle,Leland Hartwell,male,Who won a Nobel Prize for medicine in 2001?,Leland Hartwell won a Nobel Prize for medicine in 2001 for for their discoveries of key regulators of the cell cycle
2000,medicine,for their discoveries concerning signal transduction in the nervous system,Arvid Carlsson,male,Who won a Nobel Prize for medicine in 2000?,Arvid Carlsson won a Nobel Prize for medicine in 2000 for for their discoveries concerning signal transduction in the nervous system
2000,literature,for an universal validity bitter insights and linguistic ingenuity which has opened new paths for the Chinese novel and drama,Xingjian Gao,male,Who won a Nobel Prize for literature in 2000?,Xingjian Gao won a Nobel Prize for literature in 2000 for for an universal validity bitter insights and linguistic ingenuity which has opened new paths for the Chinese novel and drama
2000,economics,for his development of theory and methods for analyzing discrete choice,Daniel L. McFadden,male,Who won a Nobel Prize for economics in 2000?,Daniel L. McFadden won a Nobel Prize for economics in 2000 for for his development of theory and methods for analyzing discrete choice
2000,economics,for his development of theory and methods for analyzing selective samples,James J. Heckman,male,Who won a Nobel Prize for economics in 2000?,James J. Heckman won a Nobel Prize for economics in 2000 for for his development of theory and methods for analyzing selective samples
2000,chemistry,for the discovery and development of conductive polymers,Hideki Shirakawa,male,Who won a Nobel Prize for chemistry in 2000?,Hideki Shirakawa won a Nobel Prize for chemistry in 2000 for for the discovery and development of conductive polymers
2000,chemistry,for the discovery and development of conductive polymers,Alan MacDiarmid,male,Who won a Nobel Prize for chemistry in 2000?,Alan MacDiarmid won a Nobel Prize for chemistry in 2000 for for the discovery and development of conductive polymers
2000,chemistry,for the discovery and development of conductive polymers,Alan Heeger,male,Who won a Nobel Prize for chemistry in 2000?,Alan Heeger won a Nobel Prize for chemistry in 2000 for for the discovery and development of conductive polymers
2000,physics,for his part in the invention of the integrated circuit,Jack Kilby,male,Who won a Nobel Prize for physics in 2000?,Jack Kilby won a Nobel Prize for physics in 2000 for for his part in the invention of the integrated circuit
2000,physics,for developing semiconductor heterostructures used in high-speed- and opto-electronics,Herbert Kroemer,male,Who won a Nobel Prize for physics in 2000?,Herbert Kroemer won a Nobel Prize for physics in 2000 for for developing semiconductor heterostructures used in high-speed- and opto-electronics
2000,physics,for developing semiconductor heterostructures used in high-speed- and opto-electronics,Zhores Alferov,male,Who won a Nobel Prize for physics in 2000?,Zhores Alferov won a Nobel Prize for physics in 2000 for for developing semiconductor heterostructures used in high-speed- and opto-electronics
2000,peace,for his work for democracy and human rights in South Korea and in East Asia in general and for peace and reconciliation with North Korea in particular,Kim Dae-jung,male,Who won a Nobel Prize for peace in 2000?,Kim Dae-jung won a Nobel Prize for peace in 2000 for for his work for democracy and human rights in South Korea and in East Asia in general and for peace and reconciliation with North Korea in particular
2000,medicine,for their discoveries concerning signal transduction in the nervous system,Eric Kandel,male,Who won a Nobel Prize for medicine in 2000?,Eric Kandel won a Nobel Prize for medicine in 2000 for for their discoveries concerning signal transduction in the nervous system
2000,medicine,for their discoveries concerning signal transduction in the nervous system,Paul Greengard,male,Who won a Nobel Prize for medicine in 2000?,Paul Greengard won a Nobel Prize for medicine in 2000 for for their discoveries concerning signal transduction in the nervous system
1999,physics,for elucidating the quantum structure of electroweak interactions in physics,Gerardus 't Hooft,male,Who won a Nobel Prize for physics in 1999?,Gerardus 't Hooft won a Nobel Prize for physics in 1999 for for elucidating the quantum structure of electroweak interactions in physics
1999,literature,whose frolicsome black fables portray the forgotten face of history,Gnter Grass,male,Who won a Nobel Prize for literature in 1999?,Gnter Grass won a Nobel Prize for literature in 1999 for whose frolicsome black fables portray the forgotten face of history
1999,economics,for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas,Robert Mundell,male,Who won a Nobel Prize for economics in 1999?,Robert Mundell won a Nobel Prize for economics in 1999 for for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas
1999,peace,in recognition of the organisation's pioneering humanitarian work on several continents,Doctors Without Borders ,org,Who won a Nobel Prize for peace in 1999?,Doctors Without Borders  won a Nobel Prize for peace in 1999 for in recognition of the organisation's pioneering humanitarian work on several continents
1999,medicine,for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell,Gnter Blobel,male,Who won a Nobel Prize for medicine in 1999?,Gnter Blobel won a Nobel Prize for medicine in 1999 for for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell
1999,chemistry,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,Ahmed Zewail,male,Who won a Nobel Prize for chemistry in 1999?,Ahmed Zewail won a Nobel Prize for chemistry in 1999 for for his studies of the transition states of chemical reactions using femtosecond spectroscopy
1999,physics,for elucidating the quantum structure of electroweak interactions in physics,Martinus J.G. Veltman,male,Who won a Nobel Prize for physics in 1999?,Martinus J.G. Veltman won a Nobel Prize for physics in 1999 for for elucidating the quantum structure of electroweak interactions in physics
